phase_id,phase_label,sequence,description,precedes,active_targets
P1,Site preparation and temporary traffic management,1,"Dismantling of the existing pedestrian passage, installation of the temporary Bailey bridge, work-zone delimitation and temporary traffic management.",P2,"TrafficManagementZone;WorkZoneBoundary;PedestrianRoute;Worker"
P2,Utility relocation and micropile construction,2,"Temporary relocation of underground utilities and construction of abutment micropiles worked from the existing road surface under alternating one-way traffic.",P3,"UtilityTrench;HazardZone;MicropileArray;DrillingRig;Worker"
P3,Excavation and abutment construction,3,"Excavation for the new abutments and execution of the reinforced-concrete abutment works, including the set-back of the left abutment.",P4,"ExcavationBoundary;ExcavationFace;ReinforcementAssembly;Formwork;AbutmentElement;Worker"
P4,Existing bridge demolition and steel superstructure installation,4,"Demolition of the existing arch deck and abutments, followed by erection of the corten steel braced deck and its bolted connections and bearings.",P5,"DemolitionExclusionZone;DemolitionZone;SteelMember;BoltedConnection;BearingAssembly;LiftingZone;Worker"
P5,Deck slab construction and utility reinstatement,5,"Construction of the predalles connecting slab with shear studs, completion of abutment works, expansion joints and permanent utility reinstatement.",P6,"DeckSlab;ReinforcementAssembly;ShearStudArray;ExpansionJoint;UtilityRun;Worker"
P6,"Road finishing, guardrail installation and completion",6,"Waterproofing and pavement works on the raised road surface, roadside restraint system installation, site restoration and removal of all temporary works.",,"PavementSurface;RoadRestraintSystem;PedestrianParapet;SiteArea;Worker"
